Date,Open,High,Low,Close,Volume
9/11/2021,179.5,193.33,174.55,179.1,5607502.1
9/12/2021,179.1,181.57,167.49,174.4,3320191.23
9/13/2021,174.4,174.96,150.49,169.66,8147089.32
9/14/2021,169.66,171.84,142.51,158.92,8655147.38
9/15/2021,158.92,166.95,153.95,158.66,5295790.51
9/16/2021,158.66,163.09,147.43,152.11,4267437.38
9/17/2021,152.11,153.4,134.25,147.49,7165490.16
9/18/2021,147.49,171.55,144.27,169.36,6879081.22
9/19/2021,169.36,170.98,150.73,152.86,4423412.88
9/20/2021,152.86,153.41,130.49,132.08,9374408.49
9/21/2021,132.08,144.61,116.01,124.04,10171433.11
9/22/2021,124.04,151.98,122.14,148.18,8577111.52
9/23/2021,148.18,152.44,143.03,150,4625269.71
9/24/2021,150,151.29,128.52,139.28,5899901.53
9/25/2021,139.28,144.07,133.58,136.16,2719426.05
9/26/2021,136.16,140.82,124.9,135.84,3763786.53
9/27/2021,135.84,148.96,133.81,136.35,3921485.07
9/28/2021,136.35,139.41,128.14,132.21,3424594.77
9/29/2021,132.21,140.12,131.13,135.3,3284690.46
9/30/2021,135.3,142.94,134.11,141.32,2924528.18
10/1/2021,141.32,165,138.31,161.67,5106669.26
10/2/2021,161.67,175.03,156.24,168.99,3483482.2
10/3/2021,168.99,177.73,165.63,173.06,2932970.95
10/4/2021,173.06,173.11,162.29,167.21,3331902.94
10/5/2021,167.21,170.2,159.92,164.63,2988984.26
10/6/2021,164.63,165.48,150.33,153.92,4352374.82
10/7/2021,153.93,161.52,150.32,154.35,3248913.07
10/8/2021,154.29,168.88,152.44,158.83,3311719.52
10/9/2021,158.83,161.56,154.42,156.82,1840750.68
10/10/2021,156.82,158.49,145.84,147.67,1877292.65
10/11/2021,147.67,154,140.31,144.92,2680535.07
10/12/2021,144.92,153.44,137.7,152.43,4414004.21
10/13/2021,152.43,155.52,144.37,148.06,2773830.3
10/14/2021,148.06,155.65,147.35,150.01,2438329.44
10/15/2021,150.01,165.26,146.76,163.17,4295179.21
10/16/2021,163.17,164.76,156.63,157.56,1656278.36
10/17/2021,157.56,167.47,153.39,160.04,2219918.8
10/18/2021,160.04,162.92,154.97,157.15,1773640.5
10/19/2021,157.15,159.38,153.22,155.89,1513257.81
10/20/2021,155.89,176.89,155.16,176.81,3538555.61
10/21/2021,176.81,194.17,176.76,190.25,7126534.16
10/22/2021,190.25,215,188.1,196.22,7231885.34
10/23/2021,196.22,205.67,192.09,197.73,2980617.73
10/24/2021,197.73,204.89,185.34,202.3,3279917.64
10/25/2021,202.3,218.93,198.19,209.85,4092780.67
10/26/2021,209.85,214.04,196.52,199.72,3391463.69
10/27/2021,199.72,205.56,179.66,184.52,5303976.17
10/28/2021,184.52,201.53,181.77,194.85,4052313.36
10/29/2021,194.85,205.23,194.71,200.41,2627477.41
10/30/2021,200.41,200.63,187.51,195.91,1866159.22
10/31/2021,195.91,205.14,185.67,202.66,2680416.62
11/1/2021,202.66,211.66,198.05,203.51,3277868.31
11/2/2021,203.51,222.35,201.16,221.14,3195753.33
11/3/2021,221.14,246.51,216.07,243.02,5532527.74
11/4/2021,243.02,250.48,234.52,247.17,4054836.27
11/5/2021,247.17,248.41,230.68,236.34,2581878.07
11/6/2021,236.34,259.95,235.04,258.63,3077551.92
11/7/2021,258.63,258.81,245.9,249.76,2081450.07
11/8/2021,249.76,253.3,240.76,248.35,3177200.36
11/9/2021,248.35,253.17,237.5,239.03,2673010.87
11/10/2021,239.03,248.09,218.64,233.62,3860734.49
11/11/2021,233.62,246.46,229.6,233.51,2661561.89
11/12/2021,233.51,239,220.98,228.64,3181478.15
11/13/2021,228.64,241.92,224.99,241.66,2260636.61
11/14/2021,241.66,241.94,230.47,238.71,1703391.31
11/15/2021,238.71,246.33,234.5,238.17,2508954.5
11/16/2021,238.17,238.17,214.88,219.09,4193493.59
11/17/2021,219.09,222.24,209.95,218.95,3556315.05
11/18/2021,218.95,222.78,186.78,195.24,5601973.49
11/19/2021,195.24,219.74,189.18,215.39,3931207.66
11/20/2021,215.39,221.28,206.17,217.89,2113410.18
11/21/2021,217.89,235.71,210.44,230.56,2898523.22
11/22/2021,230.56,232.18,211.75,215.78,3594916.52
11/23/2021,215.78,226.17,211.04,221.94,2415707.59
11/24/2021,221.94,222.31,200.2,205.75,2912792.47
11/25/2021,205.75,216.48,202.06,210.06,2595187.94
11/26/2021,210.06,210.6,182.81,192.24,4638627.74
11/27/2021,192.24,199.47,190.69,193,1890558.94
11/28/2021,193,202.3,181.17,200.92,2570691.62
11/29/2021,200.92,212.94,199.87,204.22,3137423.53
11/30/2021,204.22,218.52,199.73,208.43,3871301.51
12/1/2021,208.43,232.51,207.77,229.91,4036783.81
12/2/2021,229.91,243.31,220.2,233.89,4024135.57
12/3/2021,233.89,239.63,206.22,211.87,4577358.88
12/4/2021,211.87,212.63,175.73,201.01,6745732.36
12/5/2021,201.01,204.66,181.28,196.74,3913687.98
12/6/2021,196.74,197.72,176.61,194.03,4427021.98
12/7/2021,194.03,204.27,188.08,190.38,3183358.65
12/8/2021,190.38,196.33,183.89,194.74,3128188.07
12/9/2021,194.74,196.81,178.8,181.41,2569585.5
12/10/2021,181.41,184.56,167.31,167.65,3011751.31
12/11/2021,167.65,173.8,161.48,172.08,2496572.94
12/12/2021,172.08,176.87,167.8,173,1456153.08
12/13/2021,173,173,148.1,155.15,4381779.71
12/14/2021,155.15,163.17,149.67,161.43,3265549.66
12/15/2021,161.43,183.17,156.91,178.55,4796467.85
12/16/2021,178.55,189.3,174.51,176.92,3367535.35
12/17/2021,176.92,182.47,168.15,175.65,3468871.36
12/18/2021,175.65,184.31,171.1,182.92,2018242.32
12/19/2021,182.92,189.39,178.49,180.02,1970904.87
12/20/2021,180.02,181.21,168.48,174.01,2637340.07
12/21/2021,174.01,182.64,170.29,179.76,2456350.42
12/22/2021,179.76,187.55,177.16,178.36,2685848.84
12/23/2021,178.36,193.64,175.73,190.12,2513810.33
12/24/2021,190.12,197.54,184.35,190.43,2478955.16
12/25/2021,190.43,195.3,189.33,193.05,1501231.88
12/26/2021,193.05,200.62,190.32,197.89,1642758.51
12/27/2021,197.89,204.79,194.9,195.73,1678870.83
12/28/2021,195.73,195.75,176.38,177.25,3269893.8
12/29/2021,177.25,180.62,170.16,170.62,2262570.7
12/30/2021,170.62,175.75,168.24,172.53,1670052.13
12/31/2021,172.53,177.68,167.68,169.93,2025499.07
1/1/2022,169.93,179.21,169.92,179.09,1251608.56
1/2/2022,179.09,179.5,174.41,176.4,952714.47
1/3/2022,176.4,176.48,166.68,170.08,1333457.09
1/4/2022,170.08,173.83,166.49,167.75,1494842.97
1/5/2022,167.75,171.28,145.02,154.36,2680080.83
1/6/2022,154.36,154.76,146.02,150.23,3122732.02
1/7/2022,150.23,150.64,133.79,136.39,4366669.92
1/8/2022,136.39,148.04,133.01,142.11,3303641.22
1/9/2022,142.11,145.65,137.88,140.77,1688640.76
1/10/2022,140.77,143.75,130.06,135.86,2913309.56
1/11/2022,135.86,143.51,133.65,140.25,2137379.33
1/12/2022,140.25,153.26,138.27,151.51,2634741.32
1/13/2022,151.51,157.85,145.59,146.2,2304542.8
1/14/2022,146.2,150.62,142.04,146.18,1968768.73
1/15/2022,146.18,149.59,144.08,147.74,1205217.01
1/16/2022,147.74,151.96,146.22,147.96,1136135.18
1/17/2022,147.96,148.29,137.15,139.84,1862106.92
1/18/2022,139.84,142.8,134.39,141.29,1591113.09
1/19/2022,141.29,142.74,132.83,135.3,1749348.4
1/20/2022,135.3,143.91,126.22,127.65,2105009.02
1/21/2022,127.65,129.09,106.16,112.47,7236896.26
1/22/2022,112.47,114.1,88.1,94.68,8025037.62
1/23/2022,94.68,104.74,93.34,99.81,4620279.84
1/24/2022,99.81,99.89,80.79,91.99,10200729.81
1/25/2022,91.99,100.01,87.48,94.65,5326542.53
1/26/2022,94.65,104.39,89.32,92.14,5826024.41
1/27/2022,92.14,94.62,85.71,89.56,4749368.92
1/28/2022,89.56,93.54,87.23,91.36,3666977.23
1/29/2022,91.36,98.94,90.54,96.16,2793510.06
1/30/2022,96.16,97.58,91.45,93.32,1585052.55
1/31/2022,93.32,101.39,89.12,99.54,3411154.68
2/1/2022,99.54,113.72,99.08,110.09,5768832.32
2/2/2022,110.09,112.45,96.96,101.89,5433172.66
2/3/2022,101.89,103.17,94.12,101.9,3885724.34
2/4/2022,101.9,112.89,100.39,112.58,4533303.57
2/5/2022,112.58,118.68,110.33,113.82,3014461.35
2/6/2022,113.82,116.12,111.67,115.33,1876530.04
2/7/2022,115.33,121.97,112.8,117.57,3378636.62
2/8/2022,117.57,120.32,109.78,113.42,3673823.13
2/9/2022,113.42,117.2,109.41,114.04,2231067.8
2/10/2022,114.04,114.97,105.79,106.18,3141348.8
2/11/2022,106.18,108.36,95.2,96.52,3453354.14
2/12/2022,96.52,99.87,92.91,95.96,2102748.72
2/13/2022,95.96,97.39,91.42,92.9,1527140.92
2/14/2022,92.9,97.95,90.83,96.43,2302296.29
2/15/2022,96.43,105.83,96.39,105.54,2704152.24
2/16/2022,105.54,105.63,98.33,101.94,2346126.46
2/17/2022,101.94,102.84,92.39,93.58,2363581.59
2/18/2022,93.58,96.43,89.36,89.93,2120906.04
2/19/2022,89.93,92.73,88.71,91.31,1409586.68
2/20/2022,91.31,93.94,85.69,90.75,2278454.28
2/21/2022,90.75,96.16,82.73,82.99,3552014.4
2/22/2022,82.99,87.59,81.06,86.44,2741442.98
2/23/2022,86.44,93.34,84.44,84.61,3114172.53
2/24/2022,84.61,92.69,75.43,89.41,6479419.89
2/25/2022,89.41,95.05,86.88,92.84,3290008.11
2/26/2022,92.84,95.16,89.29,90.29,1715257.81
2/27/2022,90.29,92.23,84.18,85.66,2150633.07
2/28/2022,85.66,102.36,84.21,99.75,3958430.64
3/1/2022,99.75,101.88,94.39,98.65,4154598.01
